ID,ID,Title,Full title,Publication date,Maps,Study design,Regions,Countries,Population,Interventions,Outcomes,Link
ACERgem0081,ACERgem0081,"Bekman, S. (1998). [Turkey]",A Fair Chance: An Evaluation of the Mother-Child Education Program,1-Jan-98,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Africa and the Middle East||1998-2005||Preschooler,
ACERgem0082,ACERgem0082,"Cardenas, S., Evans, D. K., & Holland, P. (2015). [Mexico]",Early Childhood Benefits at Low Cost - Evidence from a Randomized Trail in Mexico,1-Jan-15,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||2014-2017||Newborn||Infant||Toddler||Preschooler,
ACERgem0083,ACERgem0083,"Chang, S. M., Grantham-McGregor, S. M., Powell, C. A., Vera-Hernandez, M., Lopez-Boo, F., Baker-Henningham, H., & Walker, S. P. (2015). [Jamaica; Antigua; St Lucia]",Integrating a Parenting Intervention With Routine Primary Health Care: A Cluster Randomized Trial,1-Jan-15,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||2014-2017||Infant||Toddler,https://doi.org/10.1542/peds.2015-0119
ACERgem0084,ACERgem0084,"Charpak, N., Tessier, R., Ruiz, J. G., Hernandez, J. T., Uriza, F., Villegas, J., . . . Maldonado, D. (2017). [Colombia]",Twenty-year Follow-up of Kangaroo Mother Care Versus Traditional Care,1-Jan-17,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||2014-2017||Newborn||Infant,https://doi.org/10.1542/peds.2016-2063
ACERgem0085,ACERgem0085,"Cooper, P. J., Vally, Z., Cooper, H., Radford, T., Sharples, A., Tomlinson, M., & Murray, L. (2014). [South Africa]",Promoting Mother-Infant Book Sharing and Infant Attention and Language Development in an Impoverished South African Population: A Pilot Study,1-Jan-13,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Africa and the Middle East||2010-2013||Toddler,
ACERgem0086,ACERgem0086,"Eickmann, S. H., Lima, A. C. V., Guerra, M. Q., Lima, M. C., Lira, P. I. C., Huttly, S. R. A., & Ashworth, A. (2003). [Brazil]",Improved cognitive and motor development in a community-based intervention of psychosocial stimulation in northeast Brazil,1-Jan-03,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||1998-2005||Toddler,
ACERgem0087,ACERgem0087,"Gardner, J. M. M., Powell, C. A., Baker-Henningham, H., Walker, S. P., Cole, T. J., & Grantham-McGregor, S. M. (2005). [Jamaica]",Zinc supplementation and psychosocial stimulation: effects on the development of undernourished Jamaican children,1-Jan-05,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||1998-2005||Infant||Toddler,
ACERgem0088,ACERgem0088,"Gardner, J. M., Walker, S. P., Powell, C. A., & Grantham-McGregor, S. (2003). [Jamaica]",A randomized controlled trial of a home-visiting intervention on cognition and behavior in term low birth weight infants,1-Jan-03,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,Latin America and the Caribbean||1998-2005||Newborn||Infant,https://doi.org/10.1067/S0022-3476(03)00455-4
ACERgem0089,ACERgem0089,"Gowani, S., Yousafzai, A. K., Armstrong, R., & Bhutta, Z. A. (2014). [Pakistan]",Cost effectiveness of responsive stimulation and nutrition interventions on early child development outcomes in Pakistan,1-Jan-14,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,South and West Asia||2014-2017||Newborn||Infant||Toddler,
ACERgem0090,ACERgem0090,"Hamadani, J. D., Huda, S. N., Khatun, F., & Grantham-McGregor, S. M. (2006). [Bangladesh]",Psychosocial Stimulation Improves the Development of Undernourished Children in Rural Bangladesh,1-Jan-06,Improving young children's learning in economically developing countries - Scoping review,,,,,Parent-focused,South and West Asia||2006-2009||Infant||Toddler,
ACERgem0091,ACERgem0091,"Aboud, F. E. (2006). [Bangladesh]",Evaluation of an early childhood preschool program in rural Bangladesh,1-Jan-06,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||2006-2009||Preschooler,https://doi.org/10.1016/j.ecresq.2006.01.008
ACERgem0092,ACERgem0092,"Aboud, F. E., Proulx, K., & Asrilla, Z. (2016). [Indonesia]",An impact evaluation of Plan Indonesias early childhood program,1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,East Asia||2014-2017||Preschooler||Other,https://doi.org/10.17269/CJPH.107.5557
ACERgem0093,ACERgem0093,"Ade, A., Gupta, S., Maliye, C., Deshmukh, P., & Garg, B. (2010). [India]",Effect of improvement of pre-school education through Anganwadi centre on intelligence and devleopment quotient of children,1-Jan-10,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||2010-2013||Preschooler,
ACERgem0094,ACERgem0094,"Arbour, M., Yoshikawa, H., Willett, J., Weiland, C., Snow, C., Mendive, S., . . . Trevino, E. (2016). [Chile]",Experimental Impacts of a Preschool Intervention in Chile on Childrens Language Outcomes: Moderation by Student Absenteeism,1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Preschooler,
ACERgem0095,ACERgem0095,"Arbour, M., Yoshikawa, H., Atwood, S., Duran Mellado, F. R., Godoy Ossa, F., Trevino Villareal, E., & Snow, C. E. (2016). [Chile]",Improving quality and child outcomes in early childhood education by redefining the role afforded to teachers in professional development,1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Preschooler,
ACERgem0096,ACERgem0096,"Bernal, R. (2015). [Colombia]",The impact of vocational education program for childcare providers on childrens well-being,1-Jan-15,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Newborn||Infant||Toddler||Preschooler,https://doi.org/10.1016/j.econedurev.2015.07.003
ACERgem0097,ACERgem0097,"Brinkman, S. A., Hasan, A., Jung, H., Kinnell, A., Nakajima, N., & Pradhan, M. (2016). [Indonesia]",The role of preschool quality in promoting child development: evidence from rural Indonesia,1-Jan-17,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,East Asia||2014-2017||Preschooler,
ACERgem0098,ACERgem0098,"Diazgranados, S., Borisova, I., & Sarker, T. (2016). [Bangladesh]","Does attending an enhanced-quality preschool have an effect on the emergent literacy, emergent math, social skills and knowledge of health, hygiene, nutrition and safety of young children?",1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||2014-2017||Preschooler,https://doi.org/10.1080/19452829.2016.1225704
ACERgem0099,ACERgem0099,"Dowd, A. J., Borisova, I., Amente, A., & Yenew, A. (2016). [Ethiopia]",Realizing capabilities in Ethiopia: Maximizing Early Childhood Investment for Impact and Equity,1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Africa and the Middle East||2014-2017||Preschooler,https://doi.org/10.1080/19452829.2016.1225702
ACERgem0100,ACERgem0100,"Herrera, M. O., Mathiesen, M. E., Merino, J. M., & Recart, I. (2005). [Chile]",Learning contexts for young children in Chile: process quality assessment in preschool centres,1-Jan-05,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||1998-2005||Newborn||Infant||Toddler,
ACERgem0101,ACERgem0101,"Leyva, D., Yoshikawa, H., Snow, C. E., Trevino, E., Rolla, A., Barata, C. M., & Weiland, C. (2014). [Chile]",Can we improve preschool classroom quality in Chile? A cluster-randomized evaluation of a professional development program,1-Jan-14,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Preschooler,
ACERgem0102,ACERgem0102,"Li, K., Pan, Y., Hu, B., Burchinal, M., De Marco, A., Fan, X., & Qin, J. (2016). [China]",Early childhood education quality and child outcomes in China,1-Jan-16,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,East Asia||2014-2017||Preschooler,https://doi.org/10.1016/j.ecresq.2016.01.009
ACERgem0103,ACERgem0103,"Mendive, S., Weiland, C., Yoshikawa, H., & Snow, C. (2016). [Chile]",Opening the Black Box: Intervention fidelity in a randomized trial of a preschool teacher professional development program,1-Jan-15,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Preschooler,
ACERgem0104,ACERgem0104,"Moore, A. C., Akhter, S., & Aboud, F. E. (2008). [Bangladesh]",Evaluating an improved quality preschool program in rural Bangladesh,1-Jan-08,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||2006-2009||Preschooler||Other,
ACERgem0105,ACERgem0105,MS Swaminathan Foundation. (2000). [India],Understanding the relationship between quality of early childhood education and learning competencies of children,1-Jan-00,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||1998-2005||Preschooler,
ACERgem0106,ACERgem0106,"Rao, N. (2010). [India]",Preschool quality and the development of children from economically disadvantaged families in India,1-Jan-10,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,South and West Asia||2010-2013||Preschooler,
ACERgem0107,ACERgem0107,"Rolla San Francisco, A., Arias, M., & Villers, R. (2005). [Costa Rica]","Quality early childhood education in Costa Rica? Policy, practice, outcomes and challenges",1-Jan-05,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||1998-2005||Preschooler,
ACERgem0108,ACERgem0108,"Yoshikawa, H., Leyva, D., Snow, C. E., Trevino, E., Barata, C. M., Weiland, C., . . . Arbour, M. C. (2015). [Chile]",Experimental impacts of a teacher professional development program in Chile on preschool classroom quality and child outcomes,1-Jan-15,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Latin America and the Caribbean||2014-2017||Preschooler,
ACERgem0109,ACERgem0109,"Bekman, S. (2002). [Turkey]",Does daycare centre experience and its aim matter?,1-Jan-02,Improving young children's learning in economically developing countries - Scoping review,,,,,Quality,Africa and the Middle East||1998-2005||Preschooler,
